Budget,Revenue,Title,Average Vote,release_date,Release Year,"Revenue, USD mln","Budget, USD mln","Revenue Adjusted, USD mln",Revenue Adjusted,"Budget Adjusted, USD mln",Outlier,Starring Actors Popularity
195000000,197687603,Jack the Giant Slayer,5.5,2013-02-27,2013.0,197.687603,195.0,222.49913880428244,222499138.80428246,219.47421795000002,False,4966.5909930650105
200000000,705717432,The Amazing Spider-Man 2,6.5,2014-04-16,2014.0,705.717432,200.0,771.156492317064,771156492.317064,218.5454,False,2035.0600859597014
140000000,109578115,Treasure Planet,7.2,2002-11-26,2002.0,109.578115,140.0,170.71913274253154,170719132.74253154,218.11543832410712,False,85.58041798170323
140000000,441818803,Men in Black II,6.0,2002-07-03,2002.0,441.818803,140.0,688.3392991155524,688339299.1155523,218.11543832410712,False,3426.224691389969
140000000,431971116,Die Another Day,5.8,2002-11-17,2002.0,431.971116,140.0,672.9969236406694,672996923.6406695,218.11543832410712,False,3022.570878283033
139000000,821708551,Spider-Man,6.8,2002-05-01,2002.0,821.708551,139.0,1280.1951484002282,1280195148.400228,216.55747090750634,False,1322.3429069437807
100000000,520000000,Terminator 2: Judgment Day,7.7,1991-07-01,1991.0,520.0,100.0,1121.4274591227982,1121427459.1227982,215.6591267543843,False,2528.28015054458
160000000,798958165,Shrek the Third,6.0,2007-05-17,2007.0,798.958165,160.0,1073.732964354224,1073732964.3542238,215.02662069505956,False,5615.092412364035
185000000,538983207,Brave,6.7,2012-06-21,2012.0,538.983207,185.0,624.8292583581704,624829258.3581703,214.4657037455,False,183.30745248528237
150000000,374218673,Batman Begins,7.5,2005-06-10,2005.0,374.218673,150.0,533.5463470908804,533546347.0908804,213.8641330269269,False,2146.0035478991604
150000000,895921036,Harry Potter and the Goblet of Fire,7.5,2005-11-05,2005.0,895.921036,150.0,1277.3691708315077,1277369170.8315077,213.8641330269269,False,3862.1585608830487
150000000,314432665,Chicken Little,5.6,2005-11-04,2005.0,314.432665,150.0,448.3057953038076,448305795.3038076,213.8641330269269,False,1470.9240936634678
150000000,474968763,Charlie and the Chocolate Factory,6.7,2005-07-13,2005.0,474.968763,150.0,677.1918847591128,677191884.7591127,213.8641330269269,False,2223.956690012004
190000000,467365246,Star Trek Into Darkness,7.4,2013-05-05,2013.0,467.365246,190.0,526.0237018608174,526023701.8608173,213.8466739,False,3609.207752228802
145000000,25819961,The Alamo,5.8,2004-04-07,2004.0,25.819961,145.0,37.91748320850458,37917483.20850458,212.9373884504769,False,1175.9489499063457
140000000,456758981,The Last Samurai,7.3,2003-12-05,2003.0,456.758981,140.0,690.8889413958913,690888941.3958913,211.76256147971566,False,6214.740322209921
