Type,Rating,Latitude,Longitude,Year,Magnitude,Mass,VEI
Volcano,1,32.88,131.1,1331.0,,,2.0
Volcano,1,63.63,-19.62,2010.0,,,2.0
Volcano,1,63.98,-19.7,1206.0,,,2.0
Volcano,1,12.77,124.05,2011.0,,,2.0
Volcano,1,27.08,37.25,640.0,,,2.0
Volcano,1,3.17,98.39200000000001,2013.0,,,2.0
Volcano,1,-4.1,145.061,2015.0,,,2.0
Volcano,1,3.17,98.39200000000001,2017.0,,,2.0
Volcano,1,14.472999999999999,-90.88,2017.0,,,2.0
Volcano,1,10.412,123.132,1996.0,,,2.0
Volcano,1,54.05,159.43,1996.0,,,2.0
Volcano,1,14.95,-24.35,1995.0,,,2.0
Volcano,1,32.88,131.1,1990.0,,,2.0
Volcano,1,38.47,-28.4,1718.0,,,2.0
Volcano,1,56.056999999999995,160.638,1983.0,,,2.0
Volcano,1,64.63,-17.53,1716.0,,,2.0
Volcano,1,-7.93,112.30799999999999,1716.0,,,2.0
Volcano,1,38.789,15.213,1986.0,,,2.0
Volcano,1,64.63,-17.53,1712.0,,,2.0
Volcano,1,-7.542000000000001,110.44200000000001,1986.0,,,2.0
Volcano,1,28.271,-16.641,1706.0,,,2.0
Volcano,1,37.734,15.004000000000001,1987.0,,,2.0
Volcano,1,64.42,-17.33,1684.0,,,2.0
Volcano,1,32.88,131.1,1990.0,,,2.0
Volcano,1,64.42,-17.33,1629.0,,,2.0
Volcano,1,28.58,-17.83,1677.0,,,2.0
Volcano,1,-11.75,43.38,1991.0,,,2.0
Volcano,1,38.6,-28.73,1672.0,,,2.0
Volcano,1,37.734,15.004000000000001,1991.0,,,2.0
Volcano,1,2.78,125.48,1992.0,,,2.0
Volcano,1,-15.4,167.83,1670.0,,,2.0
Volcano,1,-0.381,100.473,1992.0,,,2.0
Volcano,1,1.22,-77.37,1993.0,,,2.0
Volcano,1,13.257,123.685,1993.0,,,2.0
Volcano,1,32.75,130.3,1664.0,,,2.0
Volcano,1,40.821,14.425999999999998,1805.0,,,2.0
Volcano,1,39.08,140.03,1801.0,,,2.0
Volcano,1,-8.242,115.375,1963.0,,,2.0
Volcano,1,31.93,130.87,1923.0,,,2.0
Volcano,1,32.88,131.1,1854.0,,,2.0
Volcano,1,13.257,123.685,1858.0,,,2.0
Volcano,1,-8.107999999999999,112.92,1860.0,,,2.0
Volcano,1,14.472999999999999,-90.88,1860.0,,,2.0
Volcano,1,64.42,-17.33,1861.0,,,2.0
Volcano,1,-7.93,112.30799999999999,1864.0,,,2.0
Volcano,1,36.404,25.396,1866.0,,,2.0
Volcano,1,-14.175,-169.618,1866.0,,,2.0
Volcano,1,38.15,140.45,1867.0,,,2.0
Volcano,1,19.475,-155.608,1868.0,,,2.0
Volcano,1,-8.107999999999999,112.92,1913.0,,,2.0
